gene_id	log2FoldChange
Cdk1	-1.002064826
Nuak2	-0.720466775
Adgrf2	0.913911919
Vstm2b	-1.389668232
Mtmr7	0.795561134
Pm20d1	0.677832038
Phactr3	1.854020042
Cyp2b10	1.128079861
Chek1	-0.863386038
Celsr2	0.677554763
Ier3	-0.850760885
Kcnc2	-0.722490725
Sytl1	0.655739371
Scel	-1.661482677
B4galnt2	-1.139483277
Kntc1	-1.441960287
Ccnf	-0.976908685
Tmem25	0.638503163
Ranbp17	-1.121535555
Ankrd66	-1.49313603
Myoc	-0.759533
Gm6034	1.453823011
Spi1	-0.757653239
Espn	-1.268924389
Mfap5	-0.75707559
Aldh1a3	-0.995418955
Syne3	0.582370584
Reps2	-0.599292569
Gpr34	-0.820648237
Traf1	-0.586009082
Coch	2.41116552
Mobp	2.667345405
Mrgprg	-2.293074479
Spx	-1.142114499
Fcer1g	-0.661055367
Ifi47	0.709543799
Plekhg6	0.974817678
Lyve1	-0.834094388
Klra7	1.95223001
Dock2	-0.85641677
Asb5	1.713519791
Sh3gl3	0.960218244
Card14	2.129469973
Myom2	2.034574669
Aunip	-2.779430804
Unc13a	-0.608672261
Celf4	-0.928331373
Ckap2l	-0.961578329
Mpeg1	-0.734047967
Xcl1	2.205163997
Anxa8	0.831604837
Mettl7a1	0.67497078
1700018F24Rik	2.33565425
C2	1.048601
Il1rl1	-0.862529371
Grik3	1.058358749
Zwilch	-0.805039263
Gm8369	1.971770343
Tmem254c	2.315348336
Cd300c2	-0.845343317
Irx1	2.372999307
Emp1	-0.641269962
